age,income,employment_years,education_level,marital_status,home_ownership,num_dependents,zip_code_region,loan_amount,credit_score,cred_hist_length,num_existing_loans,total_debt,checking_acc_balance,savings_acc_balance,previous_defaults,credit_card_utilization,num_late_payments_last_year,inquiries_last_6_months,has_co_signer,loan_purpose,debt_to_income_ratio,target_default
56,96272,27,3,0,2,4,1,13427,679,14,0,56431,10292,19887,1,0.7958455578738887,3,9,1,1,0.5861621239820508,0
69,57643,20,2,2,1,1,2,41251,536,17,0,18940,15030,28536,0,0.1549119403674658,8,3,1,1,0.3285741547108929,0
46,70408,12,0,1,0,2,3,35131,775,2,3,58907,15465,30103,0,0.5383571568007757,8,2,1,2,0.836652084990342,0
32,63950,26,2,2,2,0,0,37727,428,19,4,81864,13942,14400,0,0.7666242722129128,2,6,0,2,1.2801250977326035,0
60,76849,35,2,1,2,1,1,26165,809,22,4,31398,459,34843,0,0.9883045675907983,9,9,0,3,0.408567450454788,0
25,120500,6,0,2,2,2,3,2749,464,28,3,47220,8841,49047,0,0.8843972763852587,7,7,1,2,0.39186721991701245,0
38,48044,21,0,0,0,0,2,34308,576,9,4,45928,12769,14190,0,0.8643496270606393,0,7,0,1,0.9559570393805679,0
56,125469,9,0,2,0,3,2,8634,556,8,3,15927,16503,18668,0,0.247460138146398,1,3,0,1,0.1269397221624465,0
36,145588,38,3,2,1,4,2,11614,431,10,0,95677,10447,31869,1,0.8379846017090474,7,9,0,3,0.6571764156386516,1
40,35997,14,0,0,2,2,2,25866,556,9,0,22669,8509,47852,0,0.16928127754296307,7,1,1,0,0.629746923354724,0
28,99751,14,1,2,2,0,1,11282,440,27,0,45919,16134,45301,0,0.19810766454843354,5,5,0,0,0.46033623723070444,0
28,118605,3,0,1,1,1,3,21319,508,27,1,51565,19610,47491,0,0.11011674374347202,7,2,0,2,0.43476244677711734,0
41,43911,31,0,2,2,0,1,37726,818,8,0,67987,16201,48032,0,0.8575965307137872,7,7,0,3,1.5482908610598711,0
53,75533,22,0,2,1,1,1,16412,350,7,0,87990,8585,49014,1,0.10825449645131868,1,2,0,2,1.1649212926800208,0
57,102566,5,2,2,1,4,2,37627,802,22,3,79863,18936,47369,0,0.13811147974501004,2,1,1,3,0.7786498449778679,0
41,114870,23,3,0,2,4,0,9050,558,24,4,75001,13258,8995,0,0.24588715008238582,6,8,1,2,0.6529206929572561,0
20,34571,19,0,2,0,0,2,25583,477,6,4,99132,3228,47331,0,0.572662409120641,2,8,1,1,2.8674900928523908,1
39,128255,36,3,2,0,0,0,19041,842,2,0,9485,16460,28911,0,0.8801801853004031,10,8,1,1,0.0739542318038283,0
19,149226,19,1,1,0,1,1,7185,655,29,0,33141,3410,44702,0,0.4182281552555681,1,2,0,0,0.2220859635720317,0
41,114463,11,1,2,0,1,2,21812,617,9,0,23397,408,45443,0,0.5462859491917852,5,1,1,0,0.20440666416221837,0
61,77941,32,0,2,2,2,2,26832,663,9,3,46152,14729,6521,0,0.16648939995725298,1,3,0,2,0.5921402086193402,0
47,78005,27,1,2,1,2,1,18423,354,19,3,6473,18651,39123,0,0.2659458558977916,1,1,0,1,0.0829818601371707,0
55,106250,7,3,2,1,2,2,48156,455,9,3,83830,5773,31514,0,0.13392576248577492,10,7,0,2,0.7889882352941177,0
19,78712,0,2,1,2,0,3,42644,343,2,4,73750,3997,37539,0,0.40991884486708974,1,9,0,1,0.9369600569163533,0
38,63541,36,0,1,0,2,0,37786,841,28,1,67173,7307,35464,1,0.5903356586781924,3,0,1,3,1.0571599439731827,0
50,43387,21,1,0,1,0,0,30665,621,19,4,54809,9179,45226,0,0.28401953003345415,6,1,1,1,1.263258579758914,0
29,113980,5,3,2,2,4,0,10989,313,16,3,57218,5617,46231,0,0.8459958555747926,5,5,0,0,0.5020003509387612,0
39,68908,20,3,0,2,3,2,19208,656,22,2,69309,2701,5796,0,0.9812383510066344,4,8,1,1,1.005819353340686,0
61,105457,31,1,0,0,4,3,24054,782,14,1,23127,3907,33576,0,0.120154852314581,3,9,1,2,0.21930265416236003,0
42,33057,34,3,2,2,0,2,31477,658,20,0,53121,13841,43111,0,0.017860056015324144,1,4,0,3,1.6069516290044468,0
66,84028,14,3,1,1,0,0,31374,617,24,4,98229,17059,3293,0,0.7897769073947838,10,4,1,0,1.1690031894130528,0
44,130804,4,0,1,1,3,2,42220,374,1,1,55584,13407,42265,1,0.19064267780334487,7,2,0,3,0.4249411332986759,0
59,139246,5,3,2,2,1,0,4571,493,13,2,15651,15323,3459,0,0.353146592660859,11,7,0,0,0.11239820174367667,0
45,75731,24,1,2,1,1,1,20576,662,22,1,76191,19859,18803,0,0.3942312182758103,1,5,0,0,1.0060741308050865,0
33,44858,39,0,1,2,1,0,10680,395,2,4,27241,6816,4224,0,0.9165993889009445,10,9,1,3,0.607271835570021,0
32,68689,28,1,2,1,2,1,26706,339,22,3,88984,16925,7571,0,0.658838215766162,7,1,0,3,1.2954621555125274,0
64,64638,6,2,2,0,1,1,15318,696,14,0,38630,16548,22747,0,0.04060949030289074,9,4,0,1,0.5976360654723227,0
68,111598,39,1,2,1,2,1,21659,406,1,3,70672,17368,25772,0,0.014810240714154599,3,3,0,1,0.6332729977239735,1
61,122386,12,1,1,0,2,0,6029,316,15,3,61416,19045,14171,0,0.19956809753028015,11,9,1,0,0.501822103835406,1
69,66486,37,0,0,0,1,3,49436,826,18,4,59719,617,48091,0,0.3181719408727114,4,8,0,1,0.8982191739614355,0
20,40567,17,3,0,2,1,0,3774,798,9,3,97685,12105,39519,0,0.48452383408659894,10,3,0,1,2.407991717405773,0
54,49739,1,1,2,0,3,2,17972,824,22,3,37736,5639,9717,0,0.8378394123088555,0,7,0,0,0.7586803112245923,0
68,77804,7,0,1,1,3,2,15048,342,8,4,68382,11616,15411,0,0.3148177560347595,1,0,0,1,0.8789008277209398,0
24,128821,10,2,2,1,2,3,34372,649,7,4,14484,0,6237,0,0.3765372192716553,10,4,1,3,0.11243508434183867,0
38,23754,32,0,1,0,3,3,44188,329,9,2,1542,12605,42559,0,0.3293379300096576,7,8,0,2,0.06491538267239202,1
